Gene,H1,H2,H3,H4,I1,I2,I3,I4
gene:ENSG00000053372,535,593,1022,1035,1693,745,595,666
gene:ENSG00000211454,172,122,193,195,151,79,87,189
gene:ENSG00000162482,54,55,75,84,67,55,52,123
gene:ENSG00000053371,550,539,765,671,903,405,344,584
gene:ENSG00000040487,420,464,533,506,539,400,306,539
gene:ENSG00000077549,10947,8884,12631,12926,12903,7529,7162,7815
gene:ENSG00000173436,2263,1980,2372,3007,2513,1353,1355,3095
gene:ENSG00000158747,30,42,44,44,188,38,19,34
gene:ENSG00000270136,0,0,0,0,0,0,0,0
gene:ENSG00000158748,188,251,188,231,212,174,160,273
gene:ENSG00000162542,2870,2586,3341,3978,3769,1978,1827,3592
gene:ENSG00000178828,30,15,22,17,17,8,17,27
gene:ENSG00000169914,740,627,782,1036,979,543,431,583
gene:ENSG00000188784,53,28,16,51,60,31,16,34
gene:ENSG00000188257,79,65,85,95,61,60,61,75
gene:ENSG00000127472,1069,950,1196,1361,1071,773,672,1203
gene:ENSG00000117215,86,80,109,122,102,67,73,160
gene:ENSG00000158786,178,128,126,218,191,157,142,168
gene:ENSG00000187980,296,263,338,427,318,211,204,379
gene:ENSG00000162543,213,206,272,363,295,155,174,279
gene:ENSG00000158816,1097,1010,1010,1412,1095,786,620,1269
gene:ENSG00000162545,129,162,209,142,169,94,51,99
gene:ENSG00000090432,448,350,498,822,700,475,338,498
gene:ENSG00000183114,23,5,22,19,18,14,16,25
gene:ENSG00000158825,1008,773,998,1006,1186,580,504,1639
gene:ENSG00000158828,1053,794,1273,1374,1264,634,502,1081
gene:ENSG00000244038,1988,1494,2513,3317,4824,3463,2378,2434
gene:ENSG00000117245,1189,958,1172,1508,1190,607,729,1546
gene:ENSG00000189410,116,101,174,181,152,128,71,201
gene:ENSG00000127483,4946,5365,11173,9335,14122,5054,4455,4705
gene:ENSG00000075151,9686,7464,9506,12240,13541,5566,6373,10134
gene:ENSG00000117298,4544,3640,5649,5030,7949,3939,3613,6340
gene:ENSG00000142794,952,671,988,1544,1228,584,566,867
gene:ENSG00000162551,1084,840,1132,1269,1259,794,678,1657
gene:ENSG00000076864,1146,1075,988,1359,1305,924,772,1338
gene:ENSG00000090686,3858,2702,4800,4815,7249,3456,3050,3565
gene:ENSG00000187942,283,286,289,355,269,228,201,361
gene:ENSG00000142798,2211,1950,2245,2667,2283,1582,1340,2749
gene:ENSG00000219073,753,878,743,1080,633,227,404,1158
gene:ENSG00000142789,429,399,413,526,354,194,222,510
gene:ENSG00000070831,6870,6217,9529,9813,15384,5891,5654,10164
gene:ENSG00000162552,373,282,295,443,516,365,253,497
gene:ENSG00000279625,32,28,34,36,14,8,17,23
gene:ENSG00000184677,3839,2607,4644,4928,4080,2032,2260,2909
gene:ENSG00000070886,510,338,528,545,522,432,318,517
gene:ENSG00000173372,122,107,127,74,223,474,370,207
gene:ENSG00000159189,50,65,27,44,133,209,151,70
gene:ENSG00000173369,127,108,106,140,246,472,463,211
gene:ENSG00000133216,3563,3109,3539,4664,3899,3102,2639,4440
gene:ENSG00000215906,227,224,254,278,266,136,130,297
gene:ENSG00000227868,210,212,194,321,254,84,116,260
gene:ENSG00000004487,2326,1454,2678,2987,3587,1725,1516,1764
gene:ENSG00000169641,2873,2218,3225,3988,4339,1649,2113,2807
gene:ENSG00000179546,27,24,23,55,45,24,21,66
gene:ENSG00000125944,3584,3935,7085,7141,11105,4537,4196,3965
gene:ENSG00000125945,283,216,321,333,346,204,167,233
gene:ENSG00000204219,1222,1094,1948,1711,2241,808,781,1535
gene:ENSG00000088280,1130,932,1148,1681,1354,795,700,1597
gene:ENSG00000007968,564,515,661,702,2087,1751,915,724
gene:ENSG00000117318,46,62,140,63,68,43,56,52
gene:ENSG00000142676,11500,16495,34017,19901,33582,11000,11203,15873
gene:ENSG00000011007,1708,1149,2012,2482,3213,1714,1422,1509
gene:ENSG00000057757,967,869,1447,1674,2047,700,754,1001
gene:ENSG00000011009,393,395,609,637,1079,463,403,560
gene:ENSG00000117308,303,211,263,327,502,322,238,295
gene:ENSG00000117305,1176,1007,1447,1679,1521,708,725,1458
gene:ENSG00000179163,1080,685,998,1140,1032,677,479,1303
gene:ENSG00000188822,1369,1034,1318,1822,1492,586,525,1280
gene:ENSG00000189266,1918,1632,3827,3630,5252,2159,2455,1531
gene:ENSG00000188529,2664,2081,4553,4419,8336,2562,2671,1844
gene:ENSG00000142661,1200,996,1231,1600,1334,875,701,1542
gene:ENSG00000142677,401,269,393,430,353,272,206,414
gene:ENSG00000185436,1032,895,930,1454,1262,810,542,1236
gene:ENSG00000158055,624,486,596,704,585,538,346,722
gene:ENSG00000001460,1199,936,1061,1444,1383,735,637,1473
gene:ENSG00000001461,2218,2117,4428,4100,5759,1875,1655,2182
gene:ENSG00000117602,2225,2481,7752,3267,7724,1467,2151,2308
gene:ENSG00000184454,1485,1378,1720,1901,1510,836,798,2099
gene:ENSG00000133226,3576,3264,5574,5169,6552,2360,2607,3363
gene:ENSG00000169504,2640,2057,2469,2849,4548,2945,2093,3468
gene:ENSG00000020633,6608,5794,8038,19171,9858,3141,4351,3309
gene:ENSG00000117614,1715,1435,2510,2601,3038,1021,1231,1630
gene:ENSG00000117616,8404,4893,11715,13016,13795,3800,2974,3937
gene:ENSG00000187010,1100,959,1066,1324,1830,847,278,609
gene:ENSG00000183726,2175,1757,2893,3279,4138,1815,1944,2136
gene:ENSG00000188672,1681,1447,1638,2302,1860,968,724,1912
gene:ENSG00000204178,1996,1783,2880,2930,3731,1363,1357,2000
gene:ENSG00000157978,1147,1361,4377,1966,4242,1645,1734,836
gene:ENSG00000117643,3107,2430,4307,3707,3960,1979,1929,3322
gene:ENSG00000162430,232,171,248,260,244,170,147,278
gene:ENSG00000255054,17,5,4,6,12,1,2,11
gene:ENSG00000117640,826,655,884,868,1038,614,559,794
gene:ENSG00000127423,589,531,522,688,737,377,364,670
gene:ENSG00000182749,224,184,252,261,226,216,100,236
gene:ENSG00000117632,882,1415,1892,1718,6037,2643,1816,902
gene:ENSG00000158006,1519,1150,1595,2564,1536,864,892,1162
gene:ENSG00000158008,228,218,263,295,244,231,129,401
gene:ENSG00000158014,128,101,151,112,113,94,69,167
gene:ENSG00000158022,432,317,404,523,431,222,216,554
gene:ENSG00000175087,655,567,866,881,1050,506,412,767
gene:ENSG00000197245,92,85,121,161,94,62,47,154
gene:ENSG00000282872,49,49,47,96,71,52,56,107
gene:ENSG00000236782,35,27,32,41,73,52,44,45
gene:ENSG00000142684,107,101,136,158,449,290,217,161
gene:ENSG00000142675,194,277,265,332,373,288,221,297
gene:ENSG00000188782,220,149,263,306,239,179,178,258
gene:ENSG00000130695,1208,1051,1437,1755,1776,905,818,1209
gene:ENSG00000142669,7120,9271,10079,9402,19923,6581,7391,10749
gene:ENSG00000158062,1304,1083,1232,1219,1357,890,762,1615
gene:ENSG00000169442,4779,7462,12502,7126,14996,3482,4065,6690
gene:ENSG00000176092,859,888,936,1180,1011,585,587,1087
gene:ENSG00000176083,258,1252,1441,706,482,239,152,378
gene:ENSG00000131914,290,237,215,301,254,219,179,320
gene:ENSG00000117682,1074,821,1333,1333,1639,924,818,1237
gene:ENSG00000198830,1591,1520,3200,2475,4872,2240,2667,1865
gene:ENSG00000117676,2869,2312,3342,3947,3986,1989,1700,2984
gene:ENSG00000117713,5901,4640,7446,7981,9250,4154,3931,5177
gene:ENSG00000060642,503,336,535,623,622,314,259,382
gene:ENSG00000204160,1043,883,1125,1515,1524,809,719,1143
gene:ENSG00000175793,39,24,41,27,29,19,9,33
gene:ENSG00000142751,811,579,1113,1319,1399,606,477,706
gene:ENSG00000198746,567,462,754,913,767,413,398,575
gene:ENSG00000090273,1849,1890,2963,3129,4992,1986,1842,2290
gene:ENSG00000131910,24,18,32,36,36,23,18,33
gene:ENSG00000175707,238,246,250,277,240,115,159,247
gene:ENSG00000253368,204,164,245,193,163,98,108,215
gene:ENSG00000158246,228,191,170,287,219,107,104,221
gene:ENSG00000090020,2155,1781,2024,2682,2423,1324,1315,2337
gene:ENSG00000142784,2196,1909,2808,3213,2979,1499,1379,2425
gene:ENSG00000186501,896,801,1070,1228,1372,1065,977,866
gene:ENSG00000142765,1948,1586,2970,3825,3014,1056,948,1093
gene:ENSG00000142733,362,239,332,339,442,265,298,488
gene:ENSG00000142748,178,175,230,291,187,122,138,310
gene:ENSG00000174950,43,27,45,63,38,38,29,42
gene:ENSG00000181773,33,31,58,60,43,51,25,65
gene:ENSG00000158195,5875,4472,7728,8178,9396,3818,3719,6466
gene:ENSG00000126705,1342,1154,1637,1941,1792,1054,908,1695
gene:ENSG00000000938,7854,3985,4475,6995,6407,4395,3086,9386
gene:ENSG00000126709,586,608,980,840,1845,6177,9735,1179
gene:ENSG00000009780,1024,853,1104,1510,1427,615,606,1213
gene:ENSG00000117758,2260,1512,1977,2457,2943,1326,1365,2275
gene:ENSG00000117751,1094,912,1497,1861,2148,1063,931,1084
gene:ENSG00000130775,2931,1621,1974,2738,3637,2142,1500,4316
gene:ENSG00000117748,1407,1462,2880,2784,2937,1363,1207,1461
gene:ENSG00000130768,542,397,476,629,627,399,342,829
gene:ENSG00000158156,480,321,416,659,669,351,287,1037
gene:ENSG00000158161,2711,2124,2945,3538,3530,1647,1749,2763
gene:ENSG00000169403,3429,2204,2187,1991,5736,2301,2013,6309
gene:ENSG00000126698,2178,2285,3552,3693,5265,2088,1806,2468
gene:ENSG00000130770,1707,2018,3482,3327,5919,2716,2845,2164
